Date & Time,T_air (°C),T_globe (°C),Air_speed (m/s)
3/14/2025 9:15,28.608,28.88,0.113167703
3/14/2025 9:15,28.608,28.881,0.076981572
3/14/2025 9:15,28.61,28.881,0.081649661
3/14/2025 9:15,28.61,28.881,0.105056368
3/14/2025 9:15,28.611,28.881,0.098819523
3/14/2025 9:15,28.611,28.883,0.111697658
3/14/2025 9:15,28.613,28.883,0.119731498
3/14/2025 9:15,28.613,28.883,0.116132959
3/14/2025 9:15,28.614,28.885,0.12183471
3/14/2025 9:15,28.614,28.885,0.079239591
3/14/2025 9:15,28.614,28.885,0.078935148
3/14/2025 9:15,28.616,28.885,0.074089045
3/14/2025 9:15,28.616,28.886,0.092201159
3/14/2025 9:15,28.616,28.886,0.063150861
3/14/2025 9:15,28.617,28.886,0.082283861
3/14/2025 9:15,28.617,28.886,0.074165168
3/14/2025 9:15,28.617,28.888,0.050507421
3/14/2025 9:15,28.619,28.888,0.071754534
3/14/2025 9:15,28.619,28.888,0.06441999
3/14/2025 9:15,28.62,28.889,0.090704875
3/14/2025 9:15,28.62,28.889,0.096106402
3/14/2025 9:15,28.622,28.889,0.085885882
3/14/2025 9:15,28.622,28.891,0.110202207
3/14/2025 9:15,28.622,28.891,0.090958487
3/14/2025 9:15,28.624,28.891,0.082131654
3/14/2025 9:15,28.624,28.891,0.064090021
3/14/2025 9:15,28.625,28.892,0.079467921
3/14/2025 9:15,28.625,28.892,0.066044398
3/14/2025 9:15,28.625,28.892,0.081903343
3/14/2025 9:15,28.627,28.894,0.080812499
3/14/2025 9:15,28.627,28.894,0.071830662
3/14/2025 9:15,28.628,28.894,0.063937727
3/14/2025 9:15,28.628,28.894,0.069394471
3/14/2025 9:15,28.63,28.895,0.054874837
3/14/2025 9:15,28.63,28.895,0.054417812
3/14/2025 9:15,28.631,28.895,0.048856774
3/14/2025 9:15,28.631,28.897,0.071678405
3/14/2025 9:15,28.633,28.897,0.073632307
3/14/2025 9:15,28.634,28.897,0.074571151
3/14/2025 9:15,28.636,28.897,0.092201159
3/14/2025 9:15,28.636,28.899,0.0891578
3/14/2025 9:15,28.638,28.899,0.081827239
3/14/2025 9:15,28.638,28.899,0.114663032
3/14/2025 9:15,28.638,28.9,0.136477996
3/14/2025 9:15,28.639,28.9,0.111140039
3/14/2025 9:15,28.639,28.9,0.136022059
3/14/2025 9:15,28.641,28.9,0.119579454
3/14/2025 9:15,28.641,28.902,0.123785779
3/14/2025 9:15,28.641,28.902,0.116462417
3/14/2025 9:15,28.642,28.902,0.12213878
3/14/2025 9:15,28.642,28.903,0.104904263
3/14/2025 9:15,28.644,28.903,0.132906349
3/14/2025 9:15,28.644,28.903,0.1403026
3/14/2025 9:15,28.644,28.905,0.168330691
3/14/2025 9:15,28.645,28.905,0.142860579
3/14/2025 9:15,28.645,28.905,0.129005033
3/14/2025 9:15,28.647,28.905,0.110202207
3/14/2025 9:15,28.647,28.906,0.138428336
3/14/2025 9:15,28.648,28.906,0.126192804
