Date & Time,T_air (°C),T_globe (°C),Air_speed (m/s)
3/14/2025 9:15,28.731,28.995,0.028589511
3/14/2025 9:15,28.731,28.997,0.000239328
3/14/2025 9:15,28.731,28.997,0.000161554
3/14/2025 9:15,28.732,28.997,0.000161554
3/14/2025 9:15,28.732,28.997,0.000161554
3/14/2025 9:15,28.732,28.997,0.035103686
3/14/2025 9:15,28.732,28.998,0.048456523
3/14/2025 9:15,28.734,28.998,0.004775156
3/14/2025 9:15,28.734,28.998,8.38E-05
3/14/2025 9:15,28.734,28.998,8.38E-05
3/14/2025 9:15,28.734,29,0.000161554
3/14/2025 9:15,28.735,29,0.061948922
3/14/2025 9:15,28.735,29,0.052972888
3/14/2025 9:15,28.735,29,0.057100634
3/14/2025 9:15,28.735,29.001,0.046081511
3/14/2025 9:15,28.737,29.001,0.048611398
3/14/2025 9:15,28.737,29.001,0.030968136
3/14/2025 9:15,28.737,29.001,0.00389406
3/14/2025 9:15,28.737,29.003,0.000161554
3/14/2025 9:15,28.738,29.003,0.000161554
3/14/2025 9:15,28.738,29.003,8.38E-05
3/14/2025 9:15,28.738,29.003,8.38E-05
3/14/2025 9:15,28.738,29.004,0.000161554
3/14/2025 9:15,28.74,29.004,0.007884326
3/14/2025 9:15,28.74,29.004,0.034380073
3/14/2025 9:15,28.74,29.004,0.041459179
3/14/2025 9:15,28.74,29.006,0.050134232
3/14/2025 9:15,28.742,29.006,0.05227619
3/14/2025 9:15,28.742,29.006,0.038514387
3/14/2025 9:15,28.742,29.006,0.045048747
3/14/2025 9:15,28.742,29.008,0.050521361
3/14/2025 9:15,28.743,29.008,0.033036099
3/14/2025 9:15,28.743,29.008,0.048921143
3/14/2025 9:15,28.743,29.008,0.054495161
3/14/2025 9:15,28.743,29.009,0.05170848
3/14/2025 9:15,28.745,29.009,0.052431015
3/14/2025 9:15,28.745,29.009,0.061149604
3/14/2025 9:15,28.745,29.009,0.072180722
3/14/2025 9:15,28.745,29.011,0.072335294
3/14/2025 9:15,28.746,29.011,0.071691233
3/14/2025 9:15,28.746,29.011,0.074241519
3/14/2025 9:15,28.746,29.011,0.082404096
3/14/2025 9:15,28.746,29.012,0.075194522
3/14/2025 9:15,28.748,29.012,0.070918315
3/14/2025 9:15,28.748,29.012,0.080499109
3/14/2025 9:15,28.748,29.012,0.081760551
3/14/2025 9:15,28.748,29.014,0.077950097
3/14/2025 9:15,28.748,29.014,0.071227488
3/14/2025 9:15,28.749,29.014,0.084128635
3/14/2025 9:15,28.749,29.015,0.067027229
3/14/2025 9:15,28.749,29.015,0.049721279
3/14/2025 9:15,28.749,29.015,0.101387083
3/14/2025 9:15,28.751,29.015,0.113719136
3/14/2025 9:15,28.751,29.017,0.080730812
3/14/2025 9:15,28.751,29.017,0.091976221
3/14/2025 9:15,28.751,29.017,0.103751602
3/14/2025 9:15,28.751,29.017,0.11048306
3/14/2025 9:15,28.752,29.018,0.107631593
3/14/2025 9:15,28.752,29.018,0.087937241
3/14/2025 9:15,28.752,29.018,0.10573028
3/14/2025 9:16,28.752,29.02,0.093879508
3/14/2025 9:16,28.754,29.02,0.070918315
3/14/2025 9:16,28.754,29.02,0.049566418
3/14/2025 9:16,28.754,29.02,0.062103622
3/14/2025 9:16,28.754,29.022,0.065996272
3/14/2025 9:16,28.756,29.022,0.101001524
