,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
1009,10.16778259532257,ok,Cat II,3/14/2025 9:31
1163,10.724004124060086,ok,Cat II,3/14/2025 9:34
1172,17.622978204310492,ok,Cat II,3/14/2025 9:34
1173,15.422622287302394,ok,Cat II,3/14/2025 9:34
1174,10.962723128128696,ok,Cat II,3/14/2025 9:34
1190,18.47475585714186,ok,Cat II,3/14/2025 9:34
1195,19.976322951670248,ok,Cat II,3/14/2025 9:34
1196,18.520692659933452,ok,Cat II,3/14/2025 9:34
1197,16.446437652449827,ok,Cat II,3/14/2025 9:34
1198,13.037663222435349,ok,Cat II,3/14/2025 9:34
1210,17.524293446143407,ok,Cat II,3/14/2025 9:35
1211,14.422681017333865,ok,Cat II,3/14/2025 9:35
1220,15.728303298257563,ok,Cat II,3/14/2025 9:35
1221,11.417763751969037,ok,Cat II,3/14/2025 9:35
1222,13.751412489570123,ok,Cat II,3/14/2025 9:35
1223,11.794946015207362,ok,Cat II,3/14/2025 9:35
1242,18.538991156124826,ok,Cat II,3/14/2025 9:35
1243,17.002633083518685,ok,Cat II,3/14/2025 9:35
1244,12.90787688712347,ok,Cat II,3/14/2025 9:35
1245,11.82125486168905,ok,Cat II,3/14/2025 9:35
1246,13.928860481049743,ok,Cat II,3/14/2025 9:35
1249,10.37270252444521,ok,Cat II,3/14/2025 9:35
1257,13.82227510507408,ok,Cat II,3/14/2025 9:35
1264,17.708504809437343,ok,Cat II,3/14/2025 9:36
1265,15.74176054702,ok,Cat II,3/14/2025 9:36
1266,15.228814286335174,ok,Cat II,3/14/2025 9:36
1267,12.276114126116878,ok,Cat II,3/14/2025 9:36
1268,10.658809223171945,ok,Cat II,3/14/2025 9:36
1280,13.60182856503267,ok,Cat II,3/14/2025 9:36
1289,19.552214259020943,ok,Cat II,3/14/2025 9:36
1290,15.461880069151517,ok,Cat II,3/14/2025 9:36
1291,11.366830748962485,ok,Cat II,3/14/2025 9:36
1310,19.606039524846473,ok,Cat II,3/14/2025 9:36
1311,16.37949988563602,ok,Cat II,3/14/2025 9:36
1312,12.75957271599287,ok,Cat II,3/14/2025 9:36
1313,13.468333641923492,ok,Cat II,3/14/2025 9:36
1314,11.693207488906838,ok,Cat II,3/14/2025 9:36
1327,15.37936528888251,ok,Cat II,3/14/2025 9:37
1334,15.20085963568178,ok,Cat II,3/14/2025 9:37
1335,16.116940916746092,ok,Cat II,3/14/2025 9:37
1336,11.617345828913399,ok,Cat II,3/14/2025 9:37
1337,10.567098281783423,ok,Cat II,3/14/2025 9:37
1357,15.81665291798099,ok,Cat II,3/14/2025 9:37
1358,10.95212580210378,ok,Cat II,3/14/2025 9:37
1364,11.983081853621318,ok,Cat II,3/14/2025 9:37
1365,10.622886528452945,ok,Cat II,3/14/2025 9:37
1371,10.883694964477526,ok,Cat II,3/14/2025 9:37
1379,18.503955313351177,ok,Cat II,3/14/2025 9:37
1380,16.47595680783007,ok,Cat II,3/14/2025 9:38
1381,11.567936059952148,ok,Cat II,3/14/2025 9:38
1382,11.81391816999054,ok,Cat II,3/14/2025 9:38
1401,17.597851644784715,ok,Cat II,3/14/2025 9:38
1402,15.681155587664993,ok,Cat II,3/14/2025 9:38
1403,13.898175422213365,ok,Cat II,3/14/2025 9:38
1416,12.03980470370943,ok,Cat II,3/14/2025 9:38
1417,13.763587091061924,ok,Cat II,3/14/2025 9:38
1423,17.525074878879046,ok,Cat II,3/14/2025 9:38
1424,15.964089919264392,ok,Cat II,3/14/2025 9:38
1425,15.114074760389112,ok,Cat II,3/14/2025 9:38
1438,10.456671949657084,ok,Cat II,3/14/2025 9:38
1446,16.352781334121914,ok,Cat II,3/14/2025 9:39
1447,15.430344298499392,ok,Cat II,3/14/2025 9:39
1448,13.463413813957695,ok,Cat II,3/14/2025 9:39
1449,12.841737703348803,ok,Cat II,3/14/2025 9:39
1451,10.385007466649538,ok,Cat II,3/14/2025 9:39
1452,11.27139525625891,ok,Cat II,3/14/2025 9:39
1460,12.607316929727796,ok,Cat II,3/14/2025 9:39
1463,19.852717699634585,ok,Cat II,3/14/2025 9:39
1467,19.042095479889777,ok,Cat II,3/14/2025 9:39
1469,18.404371945520314,ok,Cat II,3/14/2025 9:39
1470,12.827354990312456,ok,Cat II,3/14/2025 9:39
1491,17.823445088542304,ok,Cat II,3/14/2025 9:39
1492,14.307701611862496,ok,Cat II,3/14/2025 9:39
1493,11.193180108596584,ok,Cat II,3/14/2025 9:39
1495,10.451475729549681,ok,Cat II,3/14/2025 9:39
1512,15.098696599218107,ok,Cat II,3/14/2025 9:40
1513,14.14328364237871,ok,Cat II,3/14/2025 9:40
1514,11.926121505337626,ok,Cat II,3/14/2025 9:40
1515,11.45328190927059,ok,Cat II,3/14/2025 9:40
1516,10.776348032710874,ok,Cat II,3/14/2025 9:40
1520,11.871206404393282,ok,Cat II,3/14/2025 9:40
1521,14.304935920166454,ok,Cat II,3/14/2025 9:40
1522,12.516922434565418,ok,Cat II,3/14/2025 9:40
1523,10.380668529101602,ok,Cat II,3/14/2025 9:40
1535,16.57854489416502,ok,Cat II,3/14/2025 9:40
1536,14.112118955665673,ok,Cat II,3/14/2025 9:40
1537,15.315958809879712,ok,Cat II,3/14/2025 9:40
1538,14.398226101118608,ok,Cat II,3/14/2025 9:40
1539,12.84894280082274,ok,Cat II,3/14/2025 9:40
1540,11.562970499627573,ok,Cat II,3/14/2025 9:40
1541,11.002635134473985,ok,Cat II,3/14/2025 9:40
1550,13.117245788594323,ok,Cat II,3/14/2025 9:40
1558,15.159089576482499,ok,Cat II,3/14/2025 9:40
1561,10.098517064527464,ok,Cat II,3/14/2025 9:41
1573,10.199004516313542,ok,Cat II,3/14/2025 9:41
1580,17.73659313328584,ok,Cat II,3/14/2025 9:41
1581,14.794025425418917,ok,Cat II,3/14/2025 9:41
1582,13.756132446385722,ok,Cat II,3/14/2025 9:41
1583,11.909421091552584,ok,Cat II,3/14/2025 9:41
1584,10.887454438193048,ok,Cat II,3/14/2025 9:41
1585,12.332612033015147,ok,Cat II,3/14/2025 9:41
1595,14.743843289779914,ok,Cat II,3/14/2025 9:41
1601,19.300811445356622,ok,Cat II,3/14/2025 9:41
1602,19.627137443910033,ok,Cat II,3/14/2025 9:41
1603,16.18346619148068,ok,Cat II,3/14/2025 9:41
1604,10.915370996992374,ok,Cat II,3/14/2025 9:41
1615,11.637198310447458,ok,Cat II,3/14/2025 9:41
1616,10.599914315470006,ok,Cat II,3/14/2025 9:41
1617,19.827416933693698,ok,Cat II,3/14/2025 9:41
1624,18.536756728470387,ok,Cat II,3/14/2025 9:42
1625,15.320867984999454,ok,Cat II,3/14/2025 9:42
1626,13.879610476802007,ok,Cat II,3/14/2025 9:42
1647,18.081401189523802,ok,Cat II,3/14/2025 9:42
1648,16.597680669032815,ok,Cat II,3/14/2025 9:42
1649,13.37670575219065,ok,Cat II,3/14/2025 9:42
1657,10.82274783180456,ok,Cat II,3/14/2025 9:42
1661,12.23728770162233,ok,Cat II,3/14/2025 9:42
1668,14.643547842179581,ok,Cat II,3/14/2025 9:42
1669,15.402094490007453,ok,Cat II,3/14/2025 9:42
1670,13.374490092176833,ok,Cat II,3/14/2025 9:42
1690,18.58072809215162,ok,Cat II,3/14/2025 9:43
1691,17.18119727472293,ok,Cat II,3/14/2025 9:43
1692,15.80454902989641,ok,Cat II,3/14/2025 9:43
1693,12.57731055523256,ok,Cat II,3/14/2025 9:43
1694,14.537343288028328,ok,Cat II,3/14/2025 9:43
1706,17.289989870922415,ok,Cat II,3/14/2025 9:43
1713,14.396120150978,ok,Cat II,3/14/2025 9:43
1714,13.083021566760259,ok,Cat II,3/14/2025 9:43
1715,13.712237912990993,ok,Cat II,3/14/2025 9:43
1716,12.665036380338986,ok,Cat II,3/14/2025 9:43
1717,11.69140458617626,ok,Cat II,3/14/2025 9:43
1718,10.650899511169483,ok,Cat II,3/14/2025 9:43
1721,10.350221861120879,ok,Cat II,3/14/2025 9:43
1735,17.35367439805785,ok,Cat II,3/14/2025 9:43
1736,13.0204870630751,ok,Cat II,3/14/2025 9:43
1738,13.423287087569463,ok,Cat II,3/14/2025 9:43
1739,11.195381114318195,ok,Cat II,3/14/2025 9:43
1741,12.026238325423371,ok,Cat II,3/14/2025 9:44
1750,12.114180400743127,ok,Cat II,3/14/2025 9:44
1757,17.28678067928967,ok,Cat II,3/14/2025 9:44
1758,18.816010641868786,ok,Cat II,3/14/2025 9:44
1759,14.088861581247501,ok,Cat II,3/14/2025 9:44
1760,14.033452240240415,ok,Cat II,3/14/2025 9:44
1772,11.081486645907255,ok,Cat II,3/14/2025 9:44
1778,17.789692216273288,ok,Cat II,3/14/2025 9:44
1779,14.75529619721952,ok,Cat II,3/14/2025 9:44
1780,12.986969259847648,ok,Cat II,3/14/2025 9:44
1781,11.440692918496866,ok,Cat II,3/14/2025 9:44
1783,11.59166550821211,ok,Cat II,3/14/2025 9:44
1784,11.063920339141923,ok,Cat II,3/14/2025 9:44
1786,10.696854564195329,ok,Cat II,3/14/2025 9:44
1794,13.33284830176758,ok,Cat II,3/14/2025 9:44
1799,12.816034172999808,ok,Cat II,3/14/2025 9:44
1800,15.424642591836543,ok,Cat II,3/14/2025 9:45
1801,11.630027182450949,ok,Cat II,3/14/2025 9:45
1803,13.055216938336427,ok,Cat II,3/14/2025 9:45
1805,10.149954278990991,ok,Cat II,3/14/2025 9:45
1806,10.873927301554996,ok,Cat II,3/14/2025 9:45
1816,11.68159933098573,ok,Cat II,3/14/2025 9:45
1823,18.31143408271356,ok,Cat II,3/14/2025 9:45
1824,16.120459356072633,ok,Cat II,3/14/2025 9:45
1825,14.913854607520076,ok,Cat II,3/14/2025 9:45
1826,12.344870726933143,ok,Cat II,3/14/2025 9:45
1827,12.702046076157286,ok,Cat II,3/14/2025 9:45
1829,10.625127711084557,ok,Cat II,3/14/2025 9:45
1838,18.76542955397593,ok,Cat II,3/14/2025 9:45
1843,19.18774813966228,ok,Cat II,3/14/2025 9:45
1844,16.629056938214834,ok,Cat II,3/14/2025 9:45
1846,14.58344173724185,ok,Cat II,3/14/2025 9:45
1847,15.001323144382157,ok,Cat II,3/14/2025 9:45
1848,12.40370456545764,ok,Cat II,3/14/2025 9:45
1849,11.676844849756316,ok,Cat II,3/14/2025 9:45
1850,12.988625613078588,ok,Cat II,3/14/2025 9:45
1851,11.630027182450949,ok,Cat II,3/14/2025 9:45
1852,10.003001873815332,ok,Cat II,3/14/2025 9:45
1859,10.085773896249341,ok,Cat II,3/14/2025 9:45
1868,18.659553502248677,ok,Cat II,3/14/2025 9:46
1869,11.273907775647656,ok,Cat II,3/14/2025 9:46
1870,12.288187757411464,ok,Cat II,3/14/2025 9:46
1871,13.080226221260363,ok,Cat II,3/14/2025 9:46
1872,10.683336270878042,ok,Cat II,3/14/2025 9:46
1882,11.852965423694723,ok,Cat II,3/14/2025 9:46
1890,16.80455659839888,ok,Cat II,3/14/2025 9:46
1891,12.859516323927489,ok,Cat II,3/14/2025 9:46
1892,14.543073881309772,ok,Cat II,3/14/2025 9:46
1893,10.809302057022808,ok,Cat II,3/14/2025 9:46
1899,10.015270291833632,ok,Cat II,3/14/2025 9:46
1900,13.35247891349732,ok,Cat II,3/14/2025 9:46
1901,11.182639276254264,ok,Cat II,3/14/2025 9:46
1904,11.610455648568756,ok,Cat II,3/14/2025 9:46
1905,12.87115118811136,ok,Cat II,3/14/2025 9:46
1913,16.677065028150835,ok,Cat II,3/14/2025 9:46
1914,16.31825148050322,ok,Cat II,3/14/2025 9:46
1915,11.125782704433343,ok,Cat II,3/14/2025 9:46
1916,10.888748361654656,ok,Cat II,3/14/2025 9:46
1934,15.398648497643018,ok,Cat II,3/14/2025 9:47
1935,11.900947321462818,ok,Cat II,3/14/2025 9:47
1937,11.232581503932996,ok,Cat II,3/14/2025 9:47
1938,11.293839221679951,ok,Cat II,3/14/2025 9:47
1949,11.673288676185505,ok,Cat II,3/14/2025 9:47
1957,13.483636150235874,ok,Cat II,3/14/2025 9:47
1958,16.773751689081575,ok,Cat II,3/14/2025 9:47
1959,13.513179529099643,ok,Cat II,3/14/2025 9:47
1960,11.861726682901615,ok,Cat II,3/14/2025 9:47
1962,10.396006283059954,ok,Cat II,3/14/2025 9:47
1978,19.795928781859264,ok,Cat II,3/14/2025 9:47
1979,17.718367627589128,ok,Cat II,3/14/2025 9:47
1980,10.03574121650441,ok,Cat II,3/14/2025 9:48
1981,11.476081031740629,ok,Cat II,3/14/2025 9:48
1982,10.408343021138213,ok,Cat II,3/14/2025 9:48
1993,14.760745198540432,ok,Cat II,3/14/2025 9:48
1994,10.721159938763277,ok,Cat II,3/14/2025 9:48
1995,18.437589030865382,ok,Cat II,3/14/2025 9:48
2002,13.790960032324687,ok,Cat II,3/14/2025 9:48
2003,11.927891093086641,ok,Cat II,3/14/2025 9:48
2004,11.613655942749295,ok,Cat II,3/14/2025 9:48
2005,11.802829826649413,ok,Cat II,3/14/2025 9:48
2006,11.031609952054191,ok,Cat II,3/14/2025 9:48
2016,19.49594380700039,ok,Cat II,3/14/2025 9:48
2023,19.43751914502978,ok,Cat II,3/14/2025 9:48
2024,18.30040619290778,ok,Cat II,3/14/2025 9:48
2025,17.15891099844279,ok,Cat II,3/14/2025 9:48
2026,14.927720526858774,ok,Cat II,3/14/2025 9:48
2041,18.33745637707517,ok,Cat II,3/14/2025 9:49
2046,19.49851432512269,ok,Cat II,3/14/2025 9:49
2047,17.28722241070382,ok,Cat II,3/14/2025 9:49
2048,13.67869000467012,ok,Cat II,3/14/2025 9:49
2050,14.464166739093884,ok,Cat II,3/14/2025 9:49
2051,16.009103390467832,ok,Cat II,3/14/2025 9:49
2057,12.17838987693881,ok,Cat II,3/14/2025 9:49
2058,11.144765302846725,ok,Cat II,3/14/2025 9:49
2061,13.366100499988864,ok,Cat II,3/14/2025 9:49
2068,17.5575806733849,ok,Cat II,3/14/2025 9:49
2069,17.56138773902357,ok,Cat II,3/14/2025 9:49
2070,14.188708988675085,ok,Cat II,3/14/2025 9:49
2071,15.116520401700477,ok,Cat II,3/14/2025 9:49
2072,11.923482074762331,ok,Cat II,3/14/2025 9:49
2073,14.466316915337432,ok,Cat II,3/14/2025 9:49
2092,14.95072956752304,ok,Cat II,3/14/2025 9:49
2093,14.60279980750259,ok,Cat II,3/14/2025 9:49
2094,13.043479814958484,ok,Cat II,3/14/2025 9:49
2095,11.459579994508141,ok,Cat II,3/14/2025 9:49
2096,10.039642638851072,ok,Cat II,3/14/2025 9:49
2114,14.867308667336786,ok,Cat II,3/14/2025 9:50
2115,15.315916829833457,ok,Cat II,3/14/2025 9:50
2116,12.945498127890758,ok,Cat II,3/14/2025 9:50
2118,10.302677676261402,ok,Cat II,3/14/2025 9:50
2119,11.366318009666589,ok,Cat II,3/14/2025 9:50
2120,10.644436351645286,ok,Cat II,3/14/2025 9:50
2121,11.335573991717029,ok,Cat II,3/14/2025 9:50
2122,11.17602511370591,ok,Cat II,3/14/2025 9:50
2123,11.124767159652954,ok,Cat II,3/14/2025 9:50
2136,18.824725274690515,ok,Cat II,3/14/2025 9:50
2137,18.03134379542789,ok,Cat II,3/14/2025 9:50
2138,13.198650507666619,ok,Cat II,3/14/2025 9:50
2139,14.492793004291691,ok,Cat II,3/14/2025 9:50
2140,13.701176455407982,ok,Cat II,3/14/2025 9:50
2141,12.505544559468381,ok,Cat II,3/14/2025 9:50
2158,17.49156684703089,ok,Cat II,3/14/2025 9:50
2159,14.440731403686046,ok,Cat II,3/14/2025 9:50
2160,11.826104006070583,ok,Cat II,3/14/2025 9:51
2161,12.941048307250334,ok,Cat II,3/14/2025 9:51
2162,10.179441598035895,ok,Cat II,3/14/2025 9:51
2164,10.139185686831672,ok,Cat II,3/14/2025 9:51
2179,16.418938729877546,ok,Cat II,3/14/2025 9:51
2180,15.698676939755908,ok,Cat II,3/14/2025 9:51
2181,14.821485246101524,ok,Cat II,3/14/2025 9:51
2182,12.803824525266773,ok,Cat II,3/14/2025 9:51
2196,13.723541683392957,ok,Cat II,3/14/2025 9:51
2202,19.95079450142815,ok,Cat II,3/14/2025 9:51
2203,16.17325850348021,ok,Cat II,3/14/2025 9:51
2204,17.802053643606655,ok,Cat II,3/14/2025 9:51
2205,15.581962383252963,ok,Cat II,3/14/2025 9:51
2206,10.98469910199578,ok,Cat II,3/14/2025 9:51
2208,10.964691426673216,ok,Cat II,3/14/2025 9:51
2209,12.049856480626001,ok,Cat II,3/14/2025 9:51
2216,10.133050993070082,ok,Cat II,3/14/2025 9:51
2218,12.954570032150922,ok,Cat II,3/14/2025 9:51
2219,13.316363559048238,ok,Cat II,3/14/2025 9:51
2222,11.464948384756687,ok,Cat II,3/14/2025 9:52
2225,15.745703254158085,ok,Cat II,3/14/2025 9:52
2226,16.6592414894326,ok,Cat II,3/14/2025 9:52
2227,11.435161809887315,ok,Cat II,3/14/2025 9:52
2228,10.77112262368303,ok,Cat II,3/14/2025 9:52
2229,11.2407505564287,ok,Cat II,3/14/2025 9:52
2231,10.06890610524719,ok,Cat II,3/14/2025 9:52
2241,14.958636867628636,ok,Cat II,3/14/2025 9:52
2247,17.81922125395904,ok,Cat II,3/14/2025 9:52
2248,14.466437254672119,ok,Cat II,3/14/2025 9:52
2249,10.48000571209014,ok,Cat II,3/14/2025 9:52
2254,11.077109828450295,ok,Cat II,3/14/2025 9:52
2255,11.407747222005165,ok,Cat II,3/14/2025 9:52
2269,18.42418384490845,ok,Cat II,3/14/2025 9:52
2270,16.338139268719857,ok,Cat II,3/14/2025 9:52
2271,12.679003136680576,ok,Cat II,3/14/2025 9:52
2272,10.791189716991008,ok,Cat II,3/14/2025 9:52
2284,12.39291084496612,ok,Cat II,3/14/2025 9:53
2291,19.700521054974683,ok,Cat II,3/14/2025 9:53
2292,12.914811779051707,ok,Cat II,3/14/2025 9:53
2293,14.273308678385366,ok,Cat II,3/14/2025 9:53
2294,12.754641781588289,ok,Cat II,3/14/2025 9:53
2296,10.761806714880098,ok,Cat II,3/14/2025 9:53
2297,12.111473684250598,ok,Cat II,3/14/2025 9:53
2298,10.955276624280234,ok,Cat II,3/14/2025 9:53
2300,12.870120235238733,ok,Cat II,3/14/2025 9:53
2302,11.6048421485132,ok,Cat II,3/14/2025 9:53
2307,15.321266271251684,ok,Cat II,3/14/2025 9:53
2310,19.385019816112433,ok,Cat II,3/14/2025 9:53
2314,17.471717493888516,ok,Cat II,3/14/2025 9:53
2315,14.066907941140748,ok,Cat II,3/14/2025 9:53
2316,12.41318073705463,ok,Cat II,3/14/2025 9:53
2317,10.152412664605828,ok,Cat II,3/14/2025 9:53
2318,12.697764481893488,ok,Cat II,3/14/2025 9:53
2324,10.091835801787266,ok,Cat II,3/14/2025 9:53
2326,11.394614569627139,ok,Cat II,3/14/2025 9:53
2327,11.367668752804459,ok,Cat II,3/14/2025 9:53
2328,12.344027063052398,ok,Cat II,3/14/2025 9:53
2363,10.885418780661618,ok,Cat II,3/14/2025 9:54
2395,10.3100700561385,ok,Cat II,3/14/2025 9:54
2402,10.953370717001105,ok,Cat II,3/14/2025 9:55
2453,10.819952752933448,ok,Cat II,3/14/2025 9:55
2456,10.137381983624026,ok,Cat II,3/14/2025 9:55
2464,10.72878055154325,ok,Cat II,3/14/2025 9:56
2481,10.554373891052863,ok,Cat II,3/14/2025 9:56
2482,11.623436791970185,ok,Cat II,3/14/2025 9:56
2483,13.548136983686135,ok,Cat II,3/14/2025 9:56
2484,14.138580333748967,ok,Cat II,3/14/2025 9:56
2485,10.902187098771883,ok,Cat II,3/14/2025 9:56
2515,10.781372888334596,ok,Cat II,3/14/2025 9:56
2517,11.180614572965192,ok,Cat II,3/14/2025 9:56
2519,10.854578218687895,ok,Cat II,3/14/2025 9:56
2534,10.36501806622302,ok,Cat II,3/14/2025 9:57
2535,10.587363796523206,ok,Cat II,3/14/2025 9:57
2537,10.731136869466177,ok,Cat II,3/14/2025 9:57
2538,11.69400338941555,ok,Cat II,3/14/2025 9:57
2541,10.24753595982982,ok,Cat II,3/14/2025 9:57
2568,11.42817858500498,ok,Cat II,3/14/2025 9:57
2587,10.995336783201385,ok,Cat II,3/14/2025 9:58
2588,14.722586674748385,ok,Cat II,3/14/2025 9:58
2589,14.450467303616495,ok,Cat II,3/14/2025 9:58
2590,13.840242804409693,ok,Cat II,3/14/2025 9:58
2591,13.259303381685275,ok,Cat II,3/14/2025 9:58
2592,13.594343837226365,ok,Cat II,3/14/2025 9:58
2593,14.714874227974626,ok,Cat II,3/14/2025 9:58
2594,15.640361002453064,ok,Cat II,3/14/2025 9:58
2595,12.266490652573669,ok,Cat II,3/14/2025 9:58
2596,10.626110633217007,ok,Cat II,3/14/2025 9:58
2598,10.897751685484744,ok,Cat II,3/14/2025 9:58
2599,16.17835764186201,ok,Cat II,3/14/2025 9:58
2600,14.64599213092986,ok,Cat II,3/14/2025 9:58
2601,14.845003047621951,ok,Cat II,3/14/2025 9:58
2602,13.042662588444678,ok,Cat II,3/14/2025 9:58
2603,13.563240423888033,ok,Cat II,3/14/2025 9:58
2604,13.383174063548886,ok,Cat II,3/14/2025 9:58
2605,13.019068721101988,ok,Cat II,3/14/2025 9:58
2606,11.939335129360039,ok,Cat II,3/14/2025 9:58
2607,10.833167836931393,ok,Cat II,3/14/2025 9:58
2633,11.455023945050584,ok,Cat II,3/14/2025 9:58
2634,11.036221808766827,ok,Cat II,3/14/2025 9:58
2635,10.790237460364581,ok,Cat II,3/14/2025 9:58
2643,10.961779989851891,ok,Cat II,3/14/2025 9:59
2644,10.970961387286318,ok,Cat II,3/14/2025 9:59
2647,11.332097451567167,ok,Cat II,3/14/2025 9:59
2648,11.21404283039624,ok,Cat II,3/14/2025 9:59
2649,10.684042986917218,ok,Cat II,3/14/2025 9:59
2650,10.588104012338816,ok,Cat II,3/14/2025 9:59
2651,10.684042986917218,ok,Cat II,3/14/2025 9:59
2667,12.22309148446225,ok,Cat II,3/14/2025 9:59
2668,12.956753352656415,ok,Cat II,3/14/2025 9:59
2669,10.094277677083797,ok,Cat II,3/14/2025 9:59
2688,13.096107085612424,ok,Cat II,3/14/2025 9:59
2689,13.18622198817862,ok,Cat II,3/14/2025 9:59
2690,12.119200764935446,ok,Cat II,3/14/2025 9:59
2691,10.178694118891581,ok,Cat II,3/14/2025 9:59
2729,11.525201496084389,ok,Cat II,3/14/2025 10:00
2730,11.82620910952541,ok,Cat II,3/14/2025 10:00
2731,10.977776750799492,ok,Cat II,3/14/2025 10:00
