#,Date & Time,Air Temperature (°C),Globe Temperature (°C),Air Velocity (m/s)
1,5/2/2025 8:12,24.525,24.416,0.124
2,5/2/2025 8:12,24.525,24.416,0.149
3,5/2/2025 8:12,24.526,24.418,0.171
4,5/2/2025 8:12,24.529,24.419,0.129
5,5/2/2025 8:12,24.531,24.421,0.116
6,5/2/2025 8:12,24.532,24.421,0.093
7,5/2/2025 8:12,24.534,24.422,0.118
8,5/2/2025 8:12,24.535,24.424,0.114
9,5/2/2025 8:12,24.537,24.424,0.095
10,5/2/2025 8:12,24.539,24.425,0.064
11,5/2/2025 8:12,24.54,24.427,0.098
12,5/2/2025 8:12,24.543,24.427,0.086
13,5/2/2025 8:13,24.545,24.428,0.12
14,5/2/2025 8:13,24.546,24.428,0.081
15,5/2/2025 8:13,24.548,24.43,0.063
16,5/2/2025 8:13,24.549,24.431,0.008
17,5/2/2025 8:13,24.551,24.431,0.062
18,5/2/2025 8:13,24.552,24.433,0.086
19,5/2/2025 8:13,24.554,24.433,0.047
20,5/2/2025 8:13,24.554,24.434,0.047
21,5/2/2025 8:13,24.555,24.434,0.065
22,5/2/2025 8:13,24.557,24.436,0.1
23,5/2/2025 8:13,24.558,24.437,0.092
24,5/2/2025 8:13,24.56,24.439,0.076
25,5/2/2025 8:13,24.561,24.44,0.069
26,5/2/2025 8:13,24.563,24.442,0.055
27,5/2/2025 8:13,24.564,24.443,0.03
28,5/2/2025 8:13,24.566,24.443,0.051
29,5/2/2025 8:13,24.567,24.445,0.049
30,5/2/2025 8:13,24.567,24.446,0.056
31,5/2/2025 8:13,24.569,24.448,0.053
32,5/2/2025 8:13,24.57,24.449,0.044
33,5/2/2025 8:13,24.572,24.449,0.048
34,5/2/2025 8:13,24.573,24.451,0.051
35,5/2/2025 8:13,24.573,24.451,0.046
36,5/2/2025 8:13,24.575,24.452,0.027
37,5/2/2025 8:13,24.576,24.452,0.021
38,5/2/2025 8:13,24.578,24.454,0.031
39,5/2/2025 8:13,24.579,24.454,0.045
40,5/2/2025 8:13,24.579,24.454,0.053
41,5/2/2025 8:13,24.581,24.454,0.041
42,5/2/2025 8:13,24.582,24.456,0.034
43,5/2/2025 8:13,24.584,24.456,0.055
44,5/2/2025 8:13,24.584,24.456,0.058
45,5/2/2025 8:13,24.585,24.457,0.055
46,5/2/2025 8:13,24.587,24.457,0.054
47,5/2/2025 8:13,24.587,24.457,0.06
48,5/2/2025 8:13,24.588,24.459,0.054
49,5/2/2025 8:13,24.59,24.459,0.061
50,5/2/2025 8:13,24.59,24.459,0.054
51,5/2/2025 8:13,24.591,24.46,0.057
52,5/2/2025 8:13,24.593,24.46,0.03
53,5/2/2025 8:13,24.593,24.46,0.002
54,5/2/2025 8:13,24.594,24.46,0.002
55,5/2/2025 8:13,24.594,24.462,0.002
56,5/2/2025 8:13,24.596,24.462,0.002
57,5/2/2025 8:13,24.597,24.462,0.002
58,5/2/2025 8:13,24.597,24.462,0.002
59,5/2/2025 8:13,24.599,24.462,0.014
60,5/2/2025 8:13,24.599,24.462,0.023
61,5/2/2025 8:13,24.6,24.463,0.002
62,5/2/2025 8:13,24.6,24.463,0.002
63,5/2/2025 8:13,24.602,24.463,0.002
64,5/2/2025 8:13,24.602,24.463,0.002
65,5/2/2025 8:13,24.603,24.463,0.002
66,5/2/2025 8:13,24.603,24.465,0.002
67,5/2/2025 8:13,24.605,24.465,0.03
68,5/2/2025 8:13,24.605,24.465,0.036
69,5/2/2025 8:13,24.606,24.466,0.002
70,5/2/2025 8:13,24.606,24.466,0.002
71,5/2/2025 8:13,24.608,24.468,0.002
72,5/2/2025 8:13,24.608,24.468,0.002
73,5/2/2025 8:14,24.609,24.468,0.002
74,5/2/2025 8:14,24.609,24.469,0.002
75,5/2/2025 8:14,24.609,24.469,0.002
76,5/2/2025 8:14,24.611,24.469,0.002
77,5/2/2025 8:14,24.611,24.471,0.002
78,5/2/2025 8:14,24.613,24.471,0.002
79,5/2/2025 8:14,24.613,24.472,0.002
80,5/2/2025 8:14,24.614,24.472,0.002
81,5/2/2025 8:14,24.614,24.472,0.002
82,5/2/2025 8:14,24.614,24.474,0.002
83,5/2/2025 8:14,24.616,24.474,0.002
84,5/2/2025 8:14,24.616,24.475,0.004
85,5/2/2025 8:14,24.616,24.475,0.002
86,5/2/2025 8:14,24.617,24.475,0.017
87,5/2/2025 8:14,24.617,24.477,0.04
88,5/2/2025 8:14,24.617,24.477,0.052
89,5/2/2025 8:14,24.619,24.478,0.048
90,5/2/2025 8:14,24.619,24.478,0.037
91,5/2/2025 8:14,24.619,24.478,0.035
92,5/2/2025 8:14,24.62,24.48,0.036
93,5/2/2025 8:14,24.62,24.48,0.044
94,5/2/2025 8:14,24.62,24.48,0.049
95,5/2/2025 8:14,24.622,24.48,0.046
96,5/2/2025 8:14,24.622,24.48,0.041
97,5/2/2025 8:14,24.622,24.48,0.028
98,5/2/2025 8:14,24.622,24.48,0.009
99,5/2/2025 8:14,24.623,24.48,0.029
100,5/2/2025 8:14,24.623,24.48,0.013
101,5/2/2025 8:14,24.623,24.48,0.002
102,5/2/2025 8:14,24.623,24.48,0.012
103,5/2/2025 8:14,24.625,24.48,0.035
104,5/2/2025 8:14,24.625,24.48,0.034
105,5/2/2025 8:14,24.625,24.48,0.019
106,5/2/2025 8:14,24.625,24.48,0.022
107,5/2/2025 8:14,24.626,24.48,0.024
108,5/2/2025 8:14,24.626,24.48,0.025
109,5/2/2025 8:14,24.626,24.48,0.018
110,5/2/2025 8:14,24.626,24.48,0.002
111,5/2/2025 8:14,24.628,24.48,0.002
112,5/2/2025 8:14,24.628,24.48,0.002
113,5/2/2025 8:14,24.628,24.48,0.002
114,5/2/2025 8:14,24.628,24.48,0.002
115,5/2/2025 8:14,24.628,24.48,0.002
116,5/2/2025 8:14,24.629,24.48,0.002
117,5/2/2025 8:14,24.629,24.48,0.002
118,5/2/2025 8:14,24.629,24.48,0.002
119,5/2/2025 8:14,24.629,24.48,0.002
120,5/2/2025 8:14,24.629,24.48,0.002
121,5/2/2025 8:14,24.629,24.48,0.002
122,5/2/2025 8:14,24.629,24.48,0.002
123,5/2/2025 8:14,24.631,24.48,0.002
124,5/2/2025 8:14,24.631,24.48,0.002
125,5/2/2025 8:14,24.631,24.48,0.002
126,5/2/2025 8:14,24.631,24.478,0.002
127,5/2/2025 8:14,24.631,24.478,0.002
128,5/2/2025 8:14,24.631,24.478,0.002
129,5/2/2025 8:14,24.631,24.478,0.002
130,5/2/2025 8:14,24.631,24.478,0.002
131,5/2/2025 8:14,24.631,24.478,0.002
132,5/2/2025 8:14,24.632,24.478,0.002
133,5/2/2025 8:15,24.632,24.478,0.002
134,5/2/2025 8:15,24.632,24.478,0.002
135,5/2/2025 8:15,24.632,24.478,0.002
136,5/2/2025 8:15,24.632,24.478,0.002
137,5/2/2025 8:15,24.632,24.477,0.002
138,5/2/2025 8:15,24.632,24.477,0.002
139,5/2/2025 8:15,24.632,24.477,0.002
140,5/2/2025 8:15,24.632,24.477,0.002
141,5/2/2025 8:15,24.632,24.477,0.002
142,5/2/2025 8:15,24.632,24.477,0.002
143,5/2/2025 8:15,24.632,24.477,0.002
144,5/2/2025 8:15,24.632,24.477,0.002
145,5/2/2025 8:15,24.632,24.477,0.002
146,5/2/2025 8:15,24.632,24.477,0.002
147,5/2/2025 8:15,24.632,24.477,0.002
148,5/2/2025 8:15,24.632,24.477,0.002
149,5/2/2025 8:15,24.632,24.475,0.002
150,5/2/2025 8:15,24.632,24.475,0.002
151,5/2/2025 8:15,24.632,24.475,0.002
152,5/2/2025 8:15,24.632,24.475,0.002
153,5/2/2025 8:15,24.632,24.475,0.002
154,5/2/2025 8:15,24.632,24.475,0.002
155,5/2/2025 8:15,24.632,24.475,0.002
156,5/2/2025 8:15,24.632,24.475,0.002
157,5/2/2025 8:15,24.632,24.475,0.002
158,5/2/2025 8:15,24.632,24.474,0.002
159,5/2/2025 8:15,24.632,24.474,0.002
160,5/2/2025 8:15,24.632,24.474,0.002
