Time,PMV
9:00:02,-2.6
9:00:03,-2.58
9:00:04,-2.36
9:00:05,-2.22
9:00:06,-2.27
9:00:07,-2.44
9:00:08,-2.66
9:00:09,-2.84
9:00:10,-2.72
9:00:11,-2.85
9:00:12,-2.88
9:00:13,-3.01
9:00:14,-3.21
9:00:15,-3.28
9:00:16,-3.4
9:00:17,-3.45
9:00:18,-3.6
9:00:19,-3.62
9:00:20,-3.53
9:00:21,-3.49
9:00:22,-3.45
9:00:23,-3.29
9:00:24,-3.22
9:00:25,-3.2
9:00:26,-3.29
9:00:27,-3.17
9:00:28,-2.94
9:00:29,-2.78
9:00:30,-2.6
9:00:31,-2.39
9:00:32,-2.27
9:00:33,-2.16
9:00:34,-2.1
9:00:35,-2.13
9:00:36,-2.15
9:00:37,-2.19
9:00:38,-2.2
9:00:39,-2.1
9:00:40,-1.95
9:00:41,-1.98
9:00:42,-2.1
9:00:43,-2.2
9:00:44,-2.13
9:00:45,-1.97
9:00:46,-1.83
9:00:47,-1.71
9:00:48,-1.6
9:00:49,-1.54
9:00:50,-1.48
9:00:51,-1.49
9:00:52,-1.46
9:00:53,-1.49
9:00:54,-1.43
9:00:55,-1.25
9:00:56,-1.67
9:00:57,-2.21
9:00:58,-2.49
9:00:59,-2.59
9:01:00,-2.7
9:01:01,-2.71
9:01:02,-2.63
9:01:03,-2.57
9:01:04,-2.49
9:01:05,-2.45
9:01:06,-2.45
9:01:07,-2.55
9:01:08,-2.53
9:01:09,-2.52
9:01:10,-2.31
9:01:11,-2.11
9:01:12,-2.05
9:01:13,-2.18
9:01:14,-2.33
9:01:15,-2.52
9:01:16,-2.91
9:01:17,-3.0
9:01:18,-2.87
9:01:19,-2.67
9:01:20,-2.54
9:01:21,-2.37
9:01:22,-2.21
9:01:23,-2.22
9:01:24,-2.26
9:01:25,-2.31
9:01:26,-2.28
9:01:27,-2.38
9:01:28,-2.45
9:01:29,-2.35
9:01:30,-2.09
9:01:31,-1.83
9:01:32,-1.72
9:01:33,-1.72
9:01:34,-1.74
9:01:35,-1.88
9:01:36,-2.06
9:01:37,-2.13
9:01:38,-2.09
9:01:39,-2.18
9:01:40,-2.2
9:01:41,-2.1
9:01:42,-1.97
9:01:43,-1.96
9:01:44,-1.9
9:01:45,-1.85
9:01:46,-1.69
9:01:47,-1.55
9:01:48,-1.5
9:01:49,-1.45
9:01:50,-1.65
9:01:51,-1.86
9:01:52,-2.06
9:01:53,-2.33
9:01:54,-2.55
9:01:55,-2.72
9:01:56,-2.79
9:01:57,-2.84
9:01:58,-2.88
9:01:59,-2.88
9:02:00,-2.83
9:02:01,-2.75
9:02:02,-2.64
9:02:03,-2.45
9:02:04,-2.23
9:02:05,-1.97
9:02:06,-1.76
9:02:07,-1.5
9:02:08,-1.36
9:02:09,-1.25
9:02:10,-1.04
9:02:11,-0.86
9:02:12,-0.73
9:02:13,-0.68
9:02:14,-0.79
9:02:15,-0.79
9:02:16,-0.86
9:02:17,-0.87
9:02:18,-0.87
9:02:19,-0.82
9:02:20,-0.8
9:02:21,-0.79
9:02:22,-0.9
9:02:23,-1.31
9:02:24,-1.54
9:02:25,-1.54
9:02:26,-1.48
9:02:27,-1.36
9:02:28,-1.11
9:02:29,-0.91
9:02:30,-0.77
9:02:31,-0.59
9:02:32,-0.45
9:02:33,-0.36
9:02:34,-0.42
9:02:35,-0.51
9:02:36,-0.52
9:02:37,-0.63
9:02:38,-0.77
9:02:39,-0.84
9:02:40,-0.88
9:02:41,-0.77
9:02:42,-0.7
9:02:43,-0.76
9:02:44,-0.78
9:02:45,-0.73
9:02:46,-0.68
9:02:47,-0.59
9:02:48,-0.4
9:02:49,-0.19
9:02:50,-0.09
9:02:51,-0.1
9:02:52,-0.13
9:02:53,-0.4
9:02:54,-0.67
9:02:55,-0.88
9:02:56,-1.14
9:02:57,-1.4
9:02:58,-1.59
9:02:59,-1.6
9:03:00,-1.56
9:03:01,-1.46
9:03:02,-1.27
9:03:03,-1.08
9:03:04,-1.14
9:03:05,-1.45
9:03:06,-1.91
9:03:07,-2.13
9:03:08,-2.19
9:03:09,-2.16
9:03:10,-1.93
9:03:11,-1.86
9:03:12,-2.02
9:03:13,-2.08
9:03:14,-2.09
9:03:15,-1.96
9:03:16,-1.73
9:03:17,-1.53
9:03:18,-1.39
9:03:19,-1.27
9:03:20,-1.17
9:03:21,-1.05
9:03:22,-1.07
9:03:23,-1.03
9:03:24,-1.06
9:03:25,-1.44
9:03:26,-1.69
9:03:27,-1.67
9:03:28,-1.76
9:03:29,-1.83
9:03:30,-1.76
9:03:31,-1.75
9:03:32,-1.74
9:03:33,-1.8
9:03:34,-1.99
9:03:35,-2.12
9:03:36,-2.11
9:03:37,-2.0
9:03:38,-1.85
9:03:39,-1.76
9:03:40,-1.57
9:03:41,-1.5
9:03:42,-1.47
9:03:43,-1.38
9:03:44,-1.3
9:03:45,-1.38
9:03:46,-1.57
9:03:47,-1.83
9:03:48,-1.97
9:03:49,-2.0
9:03:50,-2.04
9:03:51,-2.09
9:03:52,-2.06
9:03:53,-2.02
9:03:54,-1.95
9:03:55,-1.95
9:03:56,-2.07
9:03:57,-2.09
9:03:58,-2.14
9:03:59,-2.06
9:04:00,-1.85
9:04:01,-1.71
9:04:02,-1.7
9:04:03,-1.86
9:04:04,-1.98
9:04:05,-2.09
9:04:06,-2.16
9:04:07,-2.28
9:04:08,-2.27
9:04:09,-2.19
9:04:10,-2.08
9:04:11,-2.0
9:04:12,-1.83
